Binomial,Intro,Est,Spread,NoLocs,LG,BM,GT,WA,NBM,LS,LY,AFB,RL,OV
Artibeus_aztecus,0,NA,NA,NA,NA,20.81,NA,NA,NA,0.99,2,NA,NA,NA
Artibeus_cinereus,0,NA,NA,NA,NA,12.7,NA,NA,NA,0.99,NA,NA,NA,NA
Artibeus_concolor,0,NA,NA,NA,NA,19.65,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_fimbriatus,0,NA,NA,NA,NA,63.89,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_fraterculus,0,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA
Artibeus_glaucus,0,NA,NA,NA,NA,12.31,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_gnomus,0,NA,NA,NA,NA,10.06,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_hirsutus,0,NA,NA,NA,NA,40.42,NA,NA,NA,0.98,NA,NA,NA,NA
Artibeus_jamaicensis,0,NA,NA,NA,19.2,43.63,138.7,NA,10.57,1,2,NA,NA,NA
Artibeus_lituratus,0,NA,NA,NA,NA,59.3,106.45,NA,8.9,1,2,NA,NA,NA
Artibeus_obscurus,0,NA,NA,NA,NA,35.91,NA,NA,NA,0.98,NA,NA,NA,NA
Artibeus_phaeotis,0,NA,NA,NA,NA,11.69,NA,NA,2.52,0.99,2,NA,NA,NA
Artibeus_toltecus,0,NA,NA,NA,NA,15.47,NA,NA,NA,0.99,2,NA,NA,NA
Artibeus_watsoni,0,NA,NA,NA,NA,11.2,NA,NA,NA,1,NA,NA,NA,NA
Arvicanthis_abyssinicus,0,NA,NA,NA,NA,73.34,NA,NA,NA,NA,NA,NA,NA,NA
Arvicanthis_blicki,0,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA
Arvicanthis_niloticus,0,NA,NA,NA,6.7,95.8,21.99,21,4.25,4.86,3.5,60,2385.5,0.043716501
Arvicola_amphibius,0,NA,NA,NA,5,120,21.24,14,5.29,4.76,3.5,365,1460,0.071428571
Arvicola_sapidus,0,NA,NA,NA,3.5,219.99,22.20416667,NA,NA,3.21,NA,NA,NA,NA
Asellia_tridens,0,NA,NA,NA,NA,12.94,66.1,NA,NA,NA,NA,NA,NA,NA
Aselliscus_stoliczkanus,0,NA,NA,NA,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA
Aselliscus_tricuspidatus,0,NA,NA,NA,NA,4.08,NA,NA,NA,0.99,NA,NA,NA,NA
Atelerix_albiventris,0,NA,NA,NA,11.4,293.44,35.99,59.27,8,3.98,1,84.25416667,4076.745833,0.089532194
Atelerix_algirus,0,NA,NA,NA,7,903.98,39.25,39.7,NA,5,2,NA,NA,NA
Atelerix_frontalis,0,NA,NA,NA,NA,329.12,37.13,34.8,10.55,4.99,1.5,365,NA,NA
Ateles_belzebuth,0,NA,NA,NA,37,6692.42,138.2,NA,NA,1.02,NA,NA,NA,NA
