Species,BM,WM,DT,RLS,LS,LPY
Colobus_satanas,9055.32,1240,1372.01634,10731.5,0.99,0.6
Colobus_vellerosus,7700.18,1240,1372.01634,10731.5,1.02,0.6
Condylura_cristata,48.15,30,283.3266667,790.8333333,5.39,1
Connochaetes_taurinus,198619.68,51125.665,473.68,8139.5,0.98,1
Cricetus_cricetus,428.95,105,66.4,1368.75,7.14,2
Crocidura_aleksandrisi,7.425,4,149.86906,1285,4,3.5
Crocidura_arabica,7.425,4,149.86906,1285,4,3.5
Crocidura_attila,10.6,7.7,51.18,1385,4.04,3.5
Crocidura_caspica,12,5.89,95.21612,1340.37388,1.615,3.5
Crocidura_denti,9.9,5.89,95.21612,1340.37388,4.02,3.5
Crocidura_dsinezumi,10.6,7.7,51.18,1385,4.29,3.5
Crocidura_ichnusae,8.17,7.7,51.18,1385,4.04,3.5
Crocidura_indochinensis,10.6,7.7,51.18,1385,4.04,3.5
Crocidura_orii,12,7.7,51.18,1385,1.615,3.5
Crocidura_phaeura,10.6,7.7,51.18,1385,4.165,3.5
Crocidura_pullata,5.63,7.7,51.18,1385,4.04,3.5
Crocidura_rapax,10.6,7.7,51.18,1385,4.04,3.5
Crocidura_russula,9.89,7.7,71.38,1364.8,4.04,3.5
Crocidura_selina,10.6,7.7,51.18,1385,4.04,3.5
Crocidura_shantungensis,14.49,4,149.86906,1285,3.74,3.5
Crocidura_sibirica,7.425,4,149.86906,1285,4,3.5
Crocidura_sicula,10.94,7.7,85.16,987.84,4.72,3.5
Crocidura_silacea,7,7.7,51.18,1385,3.99,3.5
Crocidura_smithii,10.84,7.7,77.9,1358.92,4.38,3.5
Crocidura_suaveolens,7.35,4,146.9816,1284.9884,3.49,3.5
Crocidura_vorax,10.49,7.7,51.18,1385,4.04,3.5
Crocidura_vosmaeri,10.6,7.7,51.18,1385,4.04,3.5
Crocidura_zimmermanni,36.36,20.7,51.18,1802,3.37,3.5
Crocuta_crocuta,63369.98,14500,632.38,13997.75,1.91,1
Crossarchus_platycephalus,4150,620,518.9338,5750.82528,2.5,1.64
Cryptomys_amatus,76.74,26.05,404.346,3565,2.86,1.5
Cryptomys_bocagei,93.84,26.05,404.346,3565,2.86,1.5
Cryptomys_darlingi,65.58,26.05,411.138,3565,1.84,1.665
Cryptomys_hottentotus,75.13,26.05,417.4883333,3565.441667,2.48,2
Cryptoprocta_ferox,9500,5251.93,1359.4875,6935.9125,2.98,1
Cryptotis_alticola,10.6,7.7,51.18,1385,4.04,3.5
Cryptotis_orophila,7,3.85,19.66,1237.5,2.995,2.5
Cryptotis_parva,4.97,3.85,29.23916667,1227.920833,4.55,2.5
Cryptotis_peregrina,6.2,3.85,19.66,1237.5,4.55,2.5
Cryptotis_tropicalis,7,3.85,19.66,1237.5,2.995,2.5
Cuon_alpinus,15800,2350,292.6932,7606.9768,4.3,1
Cynomys_ludovicianus,797.05,140.57,753.091632,3216.338368,4.43,1
Cynopterus_brachyotis,33.87,25,209.71,3434.79,0.99,2
Cynopterus_luzoniensis,13.9,25,155.36,3485.645,0.995,2
Cynopterus_minutus,26.45,25,209.71,3434.79,1.1,2
Cynopterus_sphinx,44.71,25,286.88,3330.63,1.5,2
Cynopterus_titthaecheilus,58.33,25,209.71,3434.79,1,2
Cystophora_cristata,278896.81,44038.545,1377.5,11388,1,1
Dactylopsila_megalura,5283.94,734.995,258.5,4716,1,1.48
Dama_dama,57224.61,22570,917.37,8030,1,1
Damaliscus_pygargus,77784.55,21189.56,882.09,7391.25,1.41,1.1
Dasycercus_cristicauda,99.54,21.485,219.56,2361.44,6.5,1
Dasykaluta_rosamondae,32.17,3.84,202.89,780.61,6.64,1
Dasymys_alleni,116.965,30,41.59712,293.18488,2.585,2
Dasymys_foxi,116.965,30,41.59712,293.18488,2.585,2
Dasymys_incomtus,127.75,30,41.175,293.18488,2.67,2
Dasymys_montanus,116.965,30,41.59712,293.18488,2.585,2
Dasymys_nudipes,116.965,30,41.59712,293.18488,2.585,2
Dasymys_rufulus,116.965,30,41.59712,293.18488,2.585,2
Dasyuroides_byrnei,109.47,45,163.96,2646.04,5.14,2
Dasyurus_geoffroii,1106.62,29.89,209.22,1912.928333,5.47,1
Dasyurus_hallucatus,470.92,100,191.475,1831.621667,6.39,1
Dasyurus_maculatus,3284.15,664,230.28,2116.72,4.47,1
Dasyurus_viverrinus,1101.49,501.415,211.98,2122.803333,4.7,1
Daubentonia_madagascariensis,2731.37,1535,1079.8,7592,1.01,0.42
Delphinus_capensis,7500000,39999.995,2572.66,23905,1,1
Delphinus_delphis,79271.69,39999.995,1268.475,5626.475,0.98,0.42
Dendrolagus_inustus,12625,1800,145.27,9164.13,1.11,1.03
Dendrolagus_spadix,8468.2,945.25,537.08,8921.42,1,1.03
Diceros_bicornis,995940.54,426865.48,1470.03,15831.88,1,0.39
Dicrostonyx_groenlandicus,58.44,23,44.08,1143,3.78,2
Dicrostonyx_nelsoni,67.5,23,23.86892,1164.5,3.4,2.5
Dicrostonyx_nunatakensis,58.44,23,23.86892,1164.5,3.4,2.5
Dicrostonyx_richardsoni,55,23,72.0875,638.75,3.5,2.5
Dicrostonyx_torquatus,78.77,25.5,60.84,1295.75,3.85,2
Dicrostonyx_unalascensis,58.44,23,23.86892,1164.5,2.79,3.64
Dicrostonyx_vinogradovi,58.44,23,23.86892,1164.5,3.4,2.5
Didelphis_aurita,1105.88,95.955,78,2377,6.11,2
Didelphis_marsupialis,1134.75,95.955,90.03,1350.5,7.09,2
Didelphis_virginiana,2442.08,125,76.38,2223,8.62,2
Diomys_crumpi,116.965,30,41.59712,293.18488,2.585,2
Dipodomys_californicus,84.95,28.1,22.13,2976.37,2.6,2
Dipodomys_deserti,107.63,38,30.48788,3234.12,3.36,2.5
Dipodomys_heermanni,63.08,28.1,22.13,2976.37,3.11,2
Dipodomys_merriami,37.91,17.3,76.58,3443.5,2.39,1.75
Dipodomys_microps,56.26,21,126.0065,1187.371667,2.37,1
Dipodomys_nitratoides,41.59,17.6,61.63,3445.26,2.14,1.63
Dipodomys_panamintinus,73.67,21,12.86833333,1879.689547,3.78,1
Dipodomys_spectabilis,124.61,30.3,286.33,4325.17,2.67,2
Dobsonia_anderseni,233.99,162,541.73,3777.711665,0.99,1
Dobsonia_chapmani,37.2,25,155.36,3485.645,1,2
Dobsonia_magna,465,162,568.79,3757.551665,0.995,1
Dobsonia_moluccensis,447.64,162,541.73,3777.711665,0.99,1
Dobsonia_pannietensis,239.19,162,541.73,3777.711665,0.98,1
Drymoreomys_albimaculatus,67.885,25.5,60.885,1295.692,3.85,1.75
Echinops_telfairi,152.25,50,221.8866667,6681.933333,5.49,1
Eira_barbara,4134.99,1707.5,617.51844,7439.5,2.14,2
Elephantulus_rufescens,52.78,28.995,119.15,2739.5,1.41,5.25
Enhydra_lutris,27410.93,12540.745,1133.759184,9637.260816,0.96,0.83
Episoriculus_leucops,6.2,3.85,19.66,1237.5,4.55,2.5
Epomops_buettikoferi,135.67,47.26,309.35,514.9433335,0.98,2
Eptesicus_fuscus,17.49,15.2,436.965,6828.855,1.85,1
Equus_asinus,164998.49,32500,555.8,16288.13,1,1
Equus_burchellii,279160.65,189750,983.39,13322.5,1,0.64
Equus_quagga,359.085,205000,511.5625,13693.4375,2,0.6
Equus_zebra,282462.13,117097.78,1451.91,10484.63,1,0.35
Erethizon_dorsata,8009.73,1000,884.30596,7607.215,3,1
Erignathus_barbatus,279999.99,75335.34,2169.06,9290.1625,1,1
Erinaceus_amurensis,774.475,235,224.09634,4844.2,4.22,1.58
Erinaceus_concolor,665.99,235,171.7576,7743.9424,5.23,1.5
Erinaceus_europaeus,777.95,235,309.79,4760.21,4.64,1.5
Erinaceus_roumanicus,392,235,40.15386,4076.84614,4.49,1
Erythrocebus_patas,7966.3,1950,868,9249.71,1.01,0.97
Eubalaena_australis,22999999.91,872755.7,2806.17,22447.5,1,0.455256411
Eubalaena_glacialis,22999999.91,5000000,3133.87,20987.5,1,0.31
Eubalaena_japonica,23000000,5000000,3226.889,3821.666667,1,0.29
Eumetopias_jubatus,382466.74,106610,1355.895744,10265.10426,0.96,1
Euphractus_sexcinctus,4731.16,420,245.9312,7792.5688,1.73,2
