Order,Species,adult_body_mass_g,adult_brain_grams,development_days,Newborn_brain_grams,Newborn_body_grams,Lifespan_years,Lifespan_days,development_fraction,Neobrain_fraction
Diprotodontia,Diprotodontia,5890.822577,16.42866198,405.0720141,,,14.48461538,5286.884615,0.076618282,
Diprotodontia,Gymnobelideus_leadbeateri,121.7133333,2.9526,305.34,,,14.1,5146.5,0.059329642,
Diprotodontia,Lagorchestes_conspicillatus,2552.34,14.504,172.94,,,8.8,3212,0.053841843,
Diprotodontia,Lagorchestes_hirsutus,1288.093333,8.04972,201.885,,,13.2,4818,0.041902242,
Diprotodontia,Lagostrophus_fasciatus,1546.653333,7.252,122.73,,,4,1460,0.084061644,
Diprotodontia,Lasiorhinus_latifrons,23863.86667,57.498,2574.465,,,29.9,10913.5,0.235897283,
Diprotodontia,Macropus_agilis,12565.83333,34.4988,249.75,,,16.9,6168.5,0.040487963,
Diprotodontia,Macropus_antilopinus,28595.4,58.8448,362.66,,,19.8,7227,0.050181265,
Diprotodontia,Macropus_eugenii,4851.74,24.5532,319.37,,,15.1,5511.5,0.057946113,
Diprotodontia,Macropus_fuliginosus,27389.8,60.088,348.995,,,23.2,8468,0.041213392,
Diprotodontia,Macropus_giganteus,35265.59333,72.3128,557.19,,,25,9125,0.061061918,
Diprotodontia,Macropus_parma,3990.58,18.3866,234.035,,,15.9,5803.5,0.040326527,
Diprotodontia,Macropus_robustus,29165.94667,61.124,363.905,,,24,8760,0.041541667,
Diprotodontia,Macropus_rufogriseus,15263.33333,37.296,288.76,,,19,6935,0.041638068,
Diprotodontia,Macropus_rufus,40925.92667,64.6464,367.505,,,30,10950,0.0335621,
Diprotodontia,Onychogalea_fraenata,4120.866667,14.3646,32.61,,,7.4,2701,0.012073306,
Diprotodontia,Petauroides_volans,1093.28,5.03496,615.795,,,15,5475,0.112473973,
Diprotodontia,Petaurus_australis,508.1,5.91556,655.965,,,16,5840,0.112322774,
